,text,labels
0,我感到很聪明 ,2
1,香港专业教育学院浪费了太久的担心和感到伤害，这学期使我摧毁了我的Uni生命的最后一点点 ,0
2,我最近感觉很昏昏欲睡 ,0
3,我不紧张，我感到专注和准备好 ,3
4,当我不必考虑所有事情时，我感到很高兴 ,2
5,我不能感觉好像是错失的机会 ,0
6,香港专业教育学院发现，它产生了巨大的差异，尤其是用我的戒指在手指上，我的皮肤感觉柔软和刺激性较小 ,1
7,我正在下午，还是因为我厌倦了最后一刻的圣诞节购物者开车的方式，但我感到脾气暴躁 ,1
8,我觉得应该以其神圣性而感受到这种愚蠢行为，这使您暂时快乐 ,0
9,我觉得这是危险的，因为尖锐的针和我们这个时代不太好的视力 ,1
10,我感到可恶和受害 ,1
11,如果我未能做好准备，我会感到失望 ,0
12,尽管我过去可能没有梦想变得沮丧，但当他要求某事引起争论时，我的沮丧感到沮丧 ,1
13,我考虑过打电话给一个博客许可以感到生气，但没有因为它不像那样简单 ,1
14,我觉得有些la脚的悲伤bit子写下 ,0
15,在这些场景中，我感到非常不舒服和尴尬 ,3
16,我觉得如果这被视为时尚，世界已经发疯了 ,1
17,我不喜欢像空白的黑色一无所有 ,0
18,我感到越来越压力 ,0
19,我很生气，所以我丑陋 ,1
20,我付给她的感觉很生气，离开了这个地方真的很烦人 ,1
21,我真的不觉得那个笨拙，我只是问了一个问题，我的语气或其他任何东西都不是粗鲁的 ,1
22,我感到充满希望，快乐，轻便，向日葵和小提琴一分钟，然后感到恐惧，悲伤，黑暗和云层和伦纳德·科恩（Leonard Cohen） ,2
23,我今天感觉如此充满活力 ,2
24,在这一点上，我感觉很脾气 ,1
25,当我感到精力充沛的能量释放在HREF HTTP BOHEMIANSEAS上时，我感到精力充沛的能量我最喜欢的补给方法 ,0
26,我感到无忧无虑 ,2
27,我感到持怀疑态度我会很高兴作为医生 ,3
28,我感到被一个恶性循环陷入困境，使我不断地质疑自己的自我价值，而我只是不想再把自己放在那个地方 ,1
29,我觉得我真的很可悲，因为我觉得很毫无价值 ,0
30,我需要告诉上帝我对你的感觉，我也希望你知道你对我的意义很多 ,2
31,我和一些同学们不同意他们被老师所吸引的，并感到厌恶的批评，这是一件工作很糟糕的作品。 ,1
32,我让班级感到明显摇摇欲坠，两天后，在上下楼梯和山丘上行走时感到明显疼痛 ,3
33,我只是想一直保持无忧无虑，尽管没有压力 ,2
34,我感到特别孤独 ,0
35,我会感到自己对需要和兴奋感到不耐烦 ,1
36,老实说，我仍然感到杂乱无章 ,0
37,我只是站在外面看着绿琳上方的月球，感到和平 ,2
38,我感到无情，因为没有人足够强大 ,1
39,我经常考虑这一点，然后我甚至会自私，以为我在做许多工作妈妈会做的事情时 ,1
40,我现在怪乔·杜马尔（Joe Dumars）感到乐观 ,2
