,text,labels
0,我真的很想能够在房屋周围的财务上提供帮助，这使我感到无用时 ,0
1,当我凝视月球时，我会感到空虚，但我也对那个空虚感到非常满意 ,2
2,我在过去的几天里写下了我的想法的感觉很良性，到目前为止的评论 ,2
3,我感到冷酷的动物我觉得同样 ,1
4,我觉得这是一部完美的电影 ,2
5,我希望我绊倒了弯道，我希望向前走犹豫不决 ,3
6,我觉得我的父母向我灌输了金钱的价值，并用我的钱聪明，所以我想和自己的孩子一起做同样的事情，但是当我回想起自己的成长培养时，这并不像看起来那样容易 它从来没有 ,2
7,我想这一切都是关于试图将宁静的祈祷内部化的一切，也不感到走过去和虐待 ,0
8,我感到不安全或焦虑，我真的不认为生病了 ,3
9,我现在对下个季度要参加什么课程有些焦虑 ,3
10,我很生气，因为她不会让我一个人呆着 ,1
11,我很认为，我确实与一些令人讨厌的ppl进行了激烈的辩论，当某人只是为我做一个无辜的召集者时，我会感到非常强烈的辩论。 ,2
12,我真的觉得害羞只是害怕的另一个方面 ,3
13,我感到不安和不舒服 ,3
14,我觉得我有意被排除在家庭度假之外，现在我不确定如何做出反应 ,2
15,当人们指责我爱上人或痴迷于人时，我感到非常伤心 ,0
16,我不应该感到害怕和不确定 ,3
17,我觉得我会被摧毁，并感到家庭不排除在这个有趣的家庭中 ,0
18,我全都紧张而紧张的感觉，诚实地害怕写下这些感觉，因为他们担心它们会被用对我 ,3
19,我觉得周围尴尬而不是爱，我可以感觉到他们不想靠近我，所以我让他们走了，我不再要求拥抱或安慰 ,0
20,我想分享这篇文章，但我不想让人们惊慌，并将我送往精神设施，几周前我躺在床上躺在床上，转身和感到过于焦虑 ,3
21,我想至少要割伤我的边缘 ,3
22,我被击败了，正念不是我的朋友，因为我今天早上醒来感到昏昏欲睡，感到昏昏欲睡 ,0
23,我不想让这种关系感到匆忙 ,1
24,我觉得他们也许会看到他们的行为如何使我感到如此不开心 ,0
25,我感觉到这套氛围的阴郁氛围 ,0
26,我觉得对我的技巧至关重要，讲述一个没有言语的故事，并让观众从他们的生活经历的灵感和影响力中解释故事。 ,2
27,我对她的名言的自信潜台词感到非常恼火，这对她和她的同事造成了心理损失 ,1
28,我不会撒谎，我很荣幸他甚至想着我 ,2
29,我为抱怨太多而感到内gui ,0
30,我觉得当他使他成为不放弃案件的条件时，我似乎可以殴打他 ,3
31,我也感到真的很动摇，但是成员和工作人员参加了会议，讨论了我们应该从这里去哪里 ,3
32,我感到非常时尚，齐心协力，但是在周五的Fedora合奏时，我带着前卫的氛围使我感到无忧无虑和兴奋 ,2
33,我感到非常激动，无论他的直觉总是正确的，我都试图摆出一个强大的战线 ,0
34,我一直坚持承认我对自己的感受，因为我害怕再次暴露 ,3
35,我感到不情愿，因为结婚意味着我正在关闭所有其他选择 ,3
36,我说有点叛逆 ,1
37,我Pagetitle Julian Vergov我很犹豫地写这本书 ,3
38,我感觉不太绝望 ,0
39,我对此感到折磨 ,1
40,我无法决定是否感到冒犯或珍惜，所以我决定了后者，因为他们对我的妈妈如此好，并且非常爱我的儿子 ,1
41,我有几天的时候，我会感到胡思乱想，我通常会写关于他们的博客 ,1
42,我确实感到内gui，尽管我对伤害她的已婚女人感到内gui ,0
43,我沉迷于巧克力，我说我永远不会结婚，但是我仍然觉得有时我没有离开青春 ,1
44,我看外面我感到沮丧 ,0
45,我感到很危险的第一个人来推文，他们最喜欢的圣诞节礼物得到我从美容壁橱中偷走的东西 ,1
46,我不会想到他的标志让我感到愚蠢，因为我只是一个粉丝，只是想象他的家人必须感觉到什么 ,0
47,每当我要做功课时，我都会感到高兴 ,2
48,我不禁对下一章感到充满活力 ,2
49,我想尝试某种香草味的香烟，我觉得当我在商店里，我觉得自己急于急于 ,1
50,我一直在这家美丽的酒店的地板上节奏数小时，感觉我的胸部疼痛，每一次不情愿的呼吸都燃烧了我 ,3
51,我对本周不得不说再见感到非常震惊，中心绝对成为我们家庭的延伸 ,3
52,我觉得我坐在屏幕前的优柔寡断的方式，想知道当我脑海中漂浮一百万件事时该写什么，这对我作为一个人的方式非常有力地反映 ,3
53,我知道这个问题只是为我们开放，老实说我感到完全恐惧 ,3
54,我感到一种冷酷的寒冷，突然变化，然后将我笼罩在温暖中，例如我从未知道的 ,1
55,我觉得我们今天被所有可接受的衣服陷入困境 ,2
56,我想像我那样疯狂并不罕见 ,3
57,当您发布Uber政治Facebook身份时，我会感到非常尴尬 ,2
58,我致力于将自己与自己的关系作为自我决心，在我与焦虑的关系和恐惧的关系之前，如果别人对我变得敌对，我会受到伤害 ,1
59,我不会感到怨恨，窒息或烦恼 ,1
60,我总共感到烦恼 ,1
61,我曾经在晚上走出去，感觉非常华丽，因为我刚刚做了几个小时 ,2
62,体育渔民抓住海鸥而不是用钩子鱼，这通常是一个错误，但它使我生气 ,1
63,由于房屋的数量和活动水平增加，我对过渡时间感到更加焦虑和前卫 ,3
64,我今天的热门歌曲完全感到非常糟糕，它只是向我展示了我的感觉，这是不值得的 ,0
65,我知道我们只有两个人，但我为自己感到有些遗憾，以为我可能会淹没我的悲伤 ,0
66,我仍然以某种方式感到委屈 ,1
67,当我切换时，我不打哈欠，但是我和我的Alter Jen都呼吸着尖锐的呼吸。 ,3
68,我感到非常激动，经常沮丧 ,1
69,我担心我对他们神话般的生活所获得的所有赞美感到羡慕，所以我以勇敢的脸前往他们的地板，准备面对我要走进的一切 ,1
70,我有时会在热量强制中感到困惑 ,3
71,我用拆卸的羊毛外套装满了垃圾袋，然后将它们放在垃圾日的路边，对我的愚蠢感到有些沮丧 ,0
72,我是没人想死的事实，我们感到被剥夺了属于我们生活的事物，然后，如果生活不构成我们的一部分，它就不能阻止我们自己，我就是耶稣说的生活，他想挽救他的生命 会失去它，但是那些为我失去生命的人会找到它 ,0
73,我的意思是，如果每天发生这种情况 ,1
74,昨晚我和丈夫太狂热了，即使我道歉后，我也会感到re悔的负担 ,0
75,我为自己的生产力而感到羞耻 ,0
76,我想我可能会停止博客和审查一段时间，我可能会完全做相反的事情，因为现在一旦想到一个词呕吐，就会输入所有内容，感觉真是太棒了 ,2
77,我觉得我变得更加痛苦和仇恨，但即使这只会偶尔突破边界 ,1
78,我没有遇到很多人，我很难理解这两种经历都对我有帮助，因为我感到焦虑地从帕兰（Paran）的悠闲tranqui生活中返回大城市 ,3
79,我对我不确定的事情感到不确定 ,3
80,我觉得很la脚，我没有羞耻 ,0
81,我想知道我对这一特殊努力感到沮丧的原因是我无法想象放手 ,1
82,我感觉很好的SunCatcher钢琴混音脚本SRC HTTP DIGG ,2
83,我这样想，我不会感到沮丧 ,1
84,我对他试图控制自己的工作感到不满，但我也不想做任何轻率的事情 ,1
85,我感到有点自私，因为我不需要它，但是我激动了HREF HTTP媒体 ,1
86,我醒来，我感到如此恐惧和荒凉，以至于感觉本身几乎与梦一样恐惧 ,3
87,我知道我不应该觉得这个博客让我愚蠢，但有时我只是这样 ,0
88,我讨厌我讨厌iTunes和arrrgh的天气 ,3
89,我回到对我的课程充满热情 ,2
90,我不再感到不开心 ,0
91,我必须推迟一个分裂婚姻的孩子的压抑表情，对自己说不，你有机会为时已晚，无法对您的处境感到生气，但是我想做的就是大喊大叫我的肺顶 我他妈的问题，所以不要那样做 ,1
92,我可以再次感到快乐 ,2
93,我觉得害怕地狱，我感到伤害地狱，但没人在乎地狱 ,3
94,我对某件事感到不满意 ,0
95,我感到非常伤害，我觉得我不爱你 ,0
96,我建立了雄心勃勃的谨慎狡猾的狡猾水瓶座，我知道友谊是社会导致的友谊和双鱼座，我相信情感双重性灵魂成长的灵性鼓励我们利用我们的思想和智力来分析我们的情况以及我们的情感和感受 ,2
97,我突然觉得这不仅仅是一个甜美的情歌，每个女孩都可以在男友面前唱歌 ,2
98,我对此感到害羞，但是今年我每周开始画几次，因为我没有太多时间，但是经常开始，这对于开始训练自己的制作制作很重要 ,3
99,我觉得这些领域是对顺从的所有培训的好处 ,0
100,我觉得琐碎，很小，但我只是不够艰难，无法处理它 ,1
101,我醒来时感到不那么焦虑，但我去看了我的朋友D，他是大学的朋友，并有作为一种精神向导的礼物 ,3
102,我仍然感到偏执，我的母亲处于摧毁我们的模式 ,3
103,我对这部电影中的汤姆·汉克斯（Tom Hanks）感到，我们都知道他是现实生活中最迷人的阿尔法男性之一 ,2
104,我感到压迫接受母性和妻子奉献作为光荣的王冠 ,3
105,我觉得这种奇怪的磁性就像拉着观鸟一样 ,3
106,我感到很筋疲力尽 ,0
107,我现在有点不确定自己，因为我真的很喜欢这首歌和PV ,3
108,我还会说我觉得结局很忙 ,1
109,我感到厌烦和酸 ,1
110,我一天余下的时间都很糟糕 ,0
111,我感到被忽略，我不知道是否有理由，或者它是否与周末和宿醉有关 ,0
112,我觉得您需要记住它会变得凌乱的事情会被破坏和失去我父亲的时刻，所以购买便宜的相关性并保持乐趣和潮流 ,0
113,我现在以为我和我的兄弟在一起，我的生活会被设定，我永远不会感到自己没有保护，不被爱甚至孤独，因为我知道他总是像他一直一样看着我 ,3
114,我对那些我喜欢欣赏和尊重的人感到热情 ,2
115,我期望自己让我感到更加困扰 ,1
116,我没有感到一部分，我还没有足够的外向，无法将自己和我的职业投入到他们身上 ,2
117,即使我感到很不愿意去那里，我也必须 ,3
118,当我当前的工作是在兽医实践中担任接待员，我感到有些压力 ,1
119,我一直感到偏执嫉妒和孤独，我讨厌它 ,3
120,我觉得最近几天我一直很肮脏 ,1
121,我觉得我再次感到兴奋，帝国的反击与我记得的《星球大战》一样有趣 ,2
122,我现在感到很痛苦，因为我以为我们会在西雅图地区下雪很多 ,1
123,我觉得我自己是一个伪君子，那是当您想与我发生争吵时，我会开始讽刺并开始伪善的事情 ,1
124,我感到酷刑，因为我觉得我刚刚让她独自死 ,1
125,我不知道我是否只想像我一样惹恼某人，或者我是否认真地感觉到我以为我当时的方式 ,0
126,我说，这一天并不顺利，所以当我们接近晚餐时间时，我并没有完全努力付出任何努力，事实告诉我我感到非常怨恨 ,1
127,我不是在今天的一年中真实地思考自己，而是在我为我的孩子和我的世代而死的几年来，为奥吉布韦的艺术遗产感到自豪，每个国籍都为其文化感到自豪 ,2
128,我从这个可怕的梦中感到非常痛苦，以至于我几乎无法入睡 ,3
129,我对有时间休息和照顾我感到很高兴，但与此同时，这种巨大的内gui感就累积 ,2
130,我感到过于紧张或完全放松，在冲击击中之间没有，我无法呼吸 ,3
131,我花了一个烂的感冒感到痛苦 ,0
132,半年后，我现在仍在工作，根本没有发展 ,0
133,我仍然对自己在犹太音乐中的未来感到不确定，但至少有我在这里属于的感觉 ,3
134,每当我认为他的举动负面想法时，我都会感到很自私 ,1
135,我有这种脂肪，有时我会穿可爱的东西，只是为了感觉可爱 ,2
136,我跑得更多的减肥，我的步伐变得更好，当我跑步时我会感觉更好 ,2
137,我感到很棒，而不是感到疲倦 ,2
138,我不得不对钻石的答案有些不满意 ,1
139,我不认为我可以把任何东西都放在他身上，因为我不想显得有需要或依赖任何人 ,0
140,我觉得我应该随身携带武器，但我认为这是如此暴力 ,1
141,我觉得毫无价值的破碎 ,0
142,我想尽力使我的一天变得愉快，因为我很累，诚实感到脾气暴躁和烦躁 ,1
143,我感到偏执，你们会认为我只是为了适合我的议程而故意画某些卡片 ,3
144,我可以帮助但感觉到这里有一个真正令人兴奋的开场的机会 ,0
145,我觉得很关心，我喜欢它 ,2
146,有时我只是想删除聊天 ,0
147,我突然感到焦虑和沮丧 ,3
148,我发现自己感到焦虑和不确定 ,3
149,我觉得很放松和放松，但我不是唯一使用我们计算机的人，所以有时候我觉得我英俊的杂工时，我的笔记本电脑可以用一点停机时间来做，当我跌倒时，我就会抓住他 街道 ,2
150,我猜电毯比曾经更安全，即使我觉得我年轻的时候完全偏执 ,3
151,每当我听到我的同学成就之一时，我都不会感到嫉妒 ,1
152,我记得觉得其中一个恐龙总是有点贪婪 ,1
153,我醒了 ,3
154,我有点开始有点徒劳 ,0
155,我对这一举动感到担忧，并担心我已经浪费了我所有的钱来支付我的雷戈 ,3
156,我讨厌这种感觉，并讨厌自己那样的感觉 ,1
157,我确实感到不愿意和拒绝某些事情，但设法与之抗争 ,3
158,我为我的宝贵儿子和女儿感到 ,2
159,我仍然不想让她把他带回这里，但我不觉得暴力冲动 ,1
160,我想道歉，因为我觉得过去两天我真的很嘲笑你 ,1
161,我不能说我充满活力和起泡 ,2
162,我可以理解并欣赏对外交的需求，我觉得它正在被滥用 ,0
163,我觉得他们很小 ,1
164,我用过了，但最近我肯定会感到有缺陷 ,0
165,我不喜欢Lipo D的味道，因为它似乎是内科的味道，但是现在我觉得它很美味 ,2
166,我过去让我的感情受到了伤害 ,0
167,我真的希望我能完成功课，但对此感到怀疑 ,3
168,我觉得对《老大哥》途径电视频道的某些元素感到生气 ,1
169,我非常想念，事实只有三个月，我感到非常沮丧，这让我想知道我要如何完成四年 ,0
170,我把手掌扎在他的肩膀上，双臂伸到他的大腿上，感觉他的肌肉工作真实，坚强和活着 ,2
171,每当我支付租金时，我都会感到非常自豪 ,2
172,我晚上吃完了最后一口中国菜，却忍不住受到广播电台的加剧，尤其是商业广播 ,1
173,我觉得我是因为你留下并进一步毁了你的生活的原因 ,0
174,我觉得我只需要停下来思考有多少不幸的人是如此贫穷，以至于他们没有房子可以打电话回家，但是他们更感激 ,0
175,我觉得我知道认识更多受虐的女人的运气超出了我的数量 ,0
176,我觉得您也应该理解这个关头，我敬佩地仰望喜欢的人，因为我是一个相当小的孩子，或者至少要记住与她的任何重大互动，因为我是一个很小的孩子 ,2
177,我不想放弃任何经常的菜肴，我喜欢Congee Sticky Rice Chinese Tamales虾和菠菜饺子等 ,2
178,我觉得自己是如此无用，很难成为她的一个非常坏的朋友 ,0
179,看到这些孩子在玩阿姨聊天我感到很奇怪，我感到有些不合适 ,3
180,香港专业教育学院从来没有从梦境中醒来，以前如此疯狂或迷失方向 ,3
181,我一定已经向科学家提到了那天至少一百万次，我在生活和体重的职业生涯中也很迷失 ,0
182,自过去几天以来，我整天感到紧张 ,3
183,我觉得戴维斯不应该被吓到与普拉多交易，但他绝对应该利用他的上级摔跤来击败巴西人 ,3
184,我仍然感到有点肮脏 ,1
185,我当时在想着我感觉像个孩子，都很好玩和东西 ,2
186,我可以和我妈妈的爸爸妈妈聊天，这并不急于匆忙，因为它是免费的 ,1
187,我知道我的态度和反应不正确，但我感到很生气 ,1
188,我感到有些叛逆，因为我的父母并不是真正的耳朵刺穿 ,1
189,我重复对我的抑郁症抱怨有点愚蠢 ,0
190,我非常感激我和这些家伙在一起，让我保持清醒和学习，当我感到分心时，当案件变得太多时，我会分心我，只是让我感到安全 ,1
